audit_date,institution,matched_record_number,record_type,doi,doi_url,publication_or_project_slug,title,matched_affiliation_or_local_evidence,metadata_or_project_source_url
2026-07-02,Applied Science and Technology Research Institute,1,doi_publication,10.1109/jsen.2021.3098006,https://doi.org/10.1109/jsen.2021.3098006,2021-prediction-on-the-urban-gnss-measurement-uncertainty-based-o,Prediction on the Urban GNSS Measurement Uncertainty based on Deep Learning Networks with Long Short-Term Memory,Applied Science and Technology Research Institute,"https://api.openalex.org/works/doi:10.1109%2Fjsen.2021.3098006?select=id,doi,title,authorships"
2026-07-02,Applied Science and Technology Research Institute,2,doi_publication,10.1109/itsc57777.2023.10422216,https://doi.org/10.1109/itsc57777.2023.10422216,2023-adaptive-multi-sensor-integrated-navigation-system-aided-by,Adaptive Multi-Sensor Integrated Navigation System Aided by Continuous Error Map from RSU for Autonomous Vehicles in Urban Areas,Applied Science and Technology Research Institute,"https://api.openalex.org/works/doi:10.1109%2Fitsc57777.2023.10422216?select=id,doi,title,authorships"
2026-07-02,Applied Science and Technology Research Institute,3,doi_publication,10.1109/itsc57777.2023.10422552,https://doi.org/10.1109/itsc57777.2023.10422552,2023-roadside-infrastructure-assisted-lidar-inertial-based-mappin,Roadside Infrastructure assisted LiDAR/Inertial-based Mapping for Intelligent Vehicles in Urban Areas,Applied Science and Technology Research Institute,"https://api.openalex.org/works/doi:10.1109%2Fitsc57777.2023.10422552?select=id,doi,title,authorships"
2026-07-02,Applied Science and Technology Research Institute,4,doi_publication,10.1109/tmc.2025.3526196,https://doi.org/10.1109/tmc.2025.3526196,2025-graph-based-indoor-3d-pedestrian-location-tracking-with-iner,Graph-Based Indoor 3D Pedestrian Location Tracking With Inertial-Only Perception,Applied Science and Technology Research Institute,"https://api.openalex.org/works/doi:10.1109%2Ftmc.2025.3526196?select=id,doi,title,authorships"
2026-07-02,Applied Science and Technology Research Institute,5,doi_publication,10.1109/iros60139.2025.11246475,https://doi.org/10.1109/iros60139.2025.11246475,2025-roadside-gnss-aided-multi-sensor-integrated-system-for,Roadside GNSS Aided Multi-Sensor Integrated System for Vehicle Positioning in Urban Areas,Applied Science and Technology Research Institute,"https://api.openalex.org/works/doi:10.1109%2Firos60139.2025.11246475?select=id,doi,title,authorships"
2026-07-02,Arizona State University,1,doi_publication,10.1109/tim.2022.3146927,https://doi.org/10.1109/tim.2022.3146927,2022-carrier-aided-dual-frequency-vectorized-tracking-architectur,Carrier-Aided Dual Frequency Vectorized Tracking Architecture for NavIC Signals,Arizona State University,"https://api.openalex.org/works/doi:10.1109%2Ftim.2022.3146927?select=id,doi,title,authorships"
2026-07-02,Arizona State University,2,doi_publication,10.1109/tim.2023.3295020,https://doi.org/10.1109/tim.2023.3295020,2023-performance-evaluation-of-vectorized-navic-receiver-using-im,Performance Evaluation of Vectorized NavIC Receiver Using Improved Dual-Frequency NavIC Measurements,Arizona State University,"https://api.openalex.org/works/doi:10.1109%2Ftim.2023.3295020?select=id,doi,title,authorships"
2026-07-02,Arizona State University,3,doi_publication,10.1109/tvt.2024.3360076,https://doi.org/10.1109/tvt.2024.3360076,2024-enhancing-positioning-in-gnss-denied-environments-based-on-a,Enhancing positioning in GNSS denied environments based on an extended Kalman filter using past GNSS measurements and IMU,Arizona State University,"https://api.openalex.org/works/doi:10.1109%2Ftvt.2024.3360076?select=id,doi,title,authorships"
2026-07-02,BITS Pilani,1,doi_publication,10.1109/tim.2022.3146927,https://doi.org/10.1109/tim.2022.3146927,2022-carrier-aided-dual-frequency-vectorized-tracking-architectur,Carrier-Aided Dual Frequency Vectorized Tracking Architecture for NavIC Signals,"Birla Institute of Technology and Science, Pilani - Goa Campus","https://api.openalex.org/works/doi:10.1109%2Ftim.2022.3146927?select=id,doi,title,authorships"
2026-07-02,BITS Pilani,2,doi_publication,10.1109/tim.2023.3295020,https://doi.org/10.1109/tim.2023.3295020,2023-performance-evaluation-of-vectorized-navic-receiver-using-im,Performance Evaluation of Vectorized NavIC Receiver Using Improved Dual-Frequency NavIC Measurements,"Birla Institute of Technology and Science, Pilani - Goa Campus","https://api.openalex.org/works/doi:10.1109%2Ftim.2023.3295020?select=id,doi,title,authorships"
2026-07-02,BITS Pilani,3,doi_publication,10.1109/tvt.2024.3360076,https://doi.org/10.1109/tvt.2024.3360076,2024-enhancing-positioning-in-gnss-denied-environments-based-on-a,Enhancing positioning in GNSS denied environments based on an extended Kalman filter using past GNSS measurements and IMU,"Birla Institute of Technology and Science, Pilani - Goa Campus","https://api.openalex.org/works/doi:10.1109%2Ftvt.2024.3360076?select=id,doi,title,authorships"
2026-07-02,Beihang University,1,doi_publication,10.1007/s10291-024-01667-x,https://doi.org/10.1007/s10291-024-01667-x,2024-random-forest-based-multipath-parameter-estimation,Random forest-based multipath parameter estimation,Beihang University,"https://api.openalex.org/works/doi:10.1007%2Fs10291-024-01667-x?select=id,doi,title,authorships"
2026-07-02,Beihang University,2,doi_publication,10.1109/tim.2024.3470043,https://doi.org/10.1109/tim.2024.3470043,2024-towards-persistent-spatial-awareness-a-review-of-pedestrian,Towards Persistent Spatial Awareness: A Review of Pedestrian Dead Reckoning-Centric Indoor Positioning with Smartphones,Beihang University,"https://api.openalex.org/works/doi:10.1109%2Ftim.2024.3470043?select=id,doi,title,authorships"
2026-07-02,Beijing Institute of Technology,1,doi_publication,10.3390/rs11161851,https://doi.org/10.3390/rs11161851,2019-intelligent-gps-l1-losmultipathnlos-classifiers-based-on-c,"Intelligent GPS L1 LOS/Multipath/NLOS Classifiers Based on Correlator-, RINEX-and NMEA-Level Measurements",Beijing Institute of Technology,"https://api.openalex.org/works/doi:10.3390%2Frs11161851?select=id,doi,title,authorships"
2026-07-02,Beijing Institute of Technology,2,doi_publication,10.3390/rs11091026,https://doi.org/10.3390/rs11091026,2019-research-on-time-correlated-errors-using-allan-variance-in-a,Research on Time-Correlated Errors Using Allan Variance in a Kalman Filter Applicable to Vector-Tracking-Based GNSS Software-Defined Receiver for Autonomous Ground Vehicle Navigation,Beijing Institute of Technology,"https://api.openalex.org/works/doi:10.3390%2Frs11091026?select=id,doi,title,authorships"
2026-07-02,Beijing Jiaotong University,1,doi_publication,10.1007/s10291-020-0973-5,https://doi.org/10.1007/s10291-020-0973-5,2020-sky-visibility-estimation-based-on-gnss-satellite-visibility,Sky Visibility Estimation based on GNSS Satellite Visibility: An Approach of GNSS based Context-Awareness,Beijing Jiaotong University,"https://api.openalex.org/works/doi:10.1007%2Fs10291-020-0973-5?select=id,doi,title,authorships"
2026-07-02,Beijing Satellite Navigation Center,1,doi_publication,10.1016/j.measurement.2026.120370,https://doi.org/10.1016/j.measurement.2026.120370,2026-single-frequency-rtk-positioning-in-the-presence-of-ambiguity,Single-frequency RTK positioning in the presence of ambiguity-like code biases,Beijing Satellite Navigation Center,"https://api.openalex.org/works/doi:10.1016%2Fj.measurement.2026.120370?select=id,doi,title,authorships"
2026-07-02,Chang'an University,1,doi_publication,10.1109/access.2021.3052733,https://doi.org/10.1109/access.2021.3052733,2021-integration-of-gnss-and-ble-technology-with-inertial-sensors,Integration of GNSS and BLE Technology With Inertial Sensors for Real-Time Positioning in Urban Environments,Chang'an University,"https://api.openalex.org/works/doi:10.1109%2Faccess.2021.3052733?select=id,doi,title,authorships"
2026-07-02,Chemnitz University of Technology,1,doi_publication,10.1002/navi.421,https://doi.org/10.1002/navi.421,2021-factor-graph-optimization-for-gnssins-integration-a-compar,Factor Graph Optimization for GNSS/INS Integration: A Comparison with the Extended Kalman Filter,Chemnitz University of Technology,"https://api.openalex.org/works/doi:10.1002%2Fnavi.421?select=id,doi,title,authorships"
2026-07-02,Chinese Academy of Sciences,1,doi_publication,10.1109/access.2020.3006210,https://doi.org/10.1109/access.2020.3006210,2020-multi-agent-collaborative-gnsscamerains-integration-aided,Multi-Agent Collaborative GNSS/Camera/INS Integration Aided by Inter-ranging for Vehicular Navigation in Urban Areas,"Guangzhou Institute of Applied Software Technology, Chinese Academy of Sciences","https://api.openalex.org/works/doi:10.1109%2Faccess.2020.3006210?select=id,doi,title,authorships"
2026-07-02,Chinese Academy of Sciences,2,doi_publication,10.1016/j.measurement.2026.120370,https://doi.org/10.1016/j.measurement.2026.120370,2026-single-frequency-rtk-positioning-in-the-presence-of-ambiguity,Single-frequency RTK positioning in the presence of ambiguity-like code biases,Chinese Academy of Sciences,"https://api.openalex.org/works/doi:10.1016%2Fj.measurement.2026.120370?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,1,doi_publication,10.3390/rs11161851,https://doi.org/10.3390/rs11161851,2019-intelligent-gps-l1-losmultipathnlos-classifiers-based-on-c,"Intelligent GPS L1 LOS/Multipath/NLOS Classifiers Based on Correlator-, RINEX-and NMEA-Level Measurements",Civil Aviation University of China,"https://api.openalex.org/works/doi:10.3390%2Frs11161851?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,2,doi_publication,10.1109/tim.2019.2950578,https://doi.org/10.1109/tim.2019.2950578,2019-vector-tracking-loop-based-gnss-nlos-detection-and-correctio,Vector Tracking Loop-based GNSS NLOS Detection and Correction: Algorithm Design and Performance Analysis,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1109%2Ftim.2019.2950578?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,3,doi_publication,10.1007/s10291-022-01280-w,https://doi.org/10.1007/s10291-022-01280-w,2022-scalar-and-vector-tracking-loop-simulation-based-on-a-unifor,Scalar and vector tracking loop simulation based on a uniform semi-analytic model and robustness analysis in multipath/NLOS situations,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1007%2Fs10291-022-01280-w?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,4,doi_publication,10.1016/j.cja.2023.11.013,https://doi.org/10.1016/j.cja.2023.11.013,2023-a-robust-vector-tracking-loop-structure-based-on-potential-b,A robust vector tracking loop structure based on potential bias analysis,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1016%2Fj.cja.2023.11.013?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,5,doi_publication,10.47852/bonviewjdsis42022961,https://doi.org/10.47852/bonviewjdsis42022961,2024-enhancing-smartphone-based-pedestrian-positioning-using-fac,Enhancing Smartphone-based Pedestrian Positioning: Using Factor Graph Optimization with Indoor/Outdoor Detection for 3DMA GNSS/Visual-Inertial State Estimation,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.47852%2Fbonviewjdsis42022961?select=id,doi,title,authorships"
2026-07-02,Civil Aviation University of China,6,doi_publication,10.1109/tvt.2025.3589556,https://doi.org/10.1109/tvt.2025.3589556,2025-tightly-joined-positioning-and-control-model-for-unmanned-ae,Tightly joined positioning and control model for unmanned aerial vehicles based on factor graph optimization,Civil Aviation University of China,"https://api.openalex.org/works/doi:10.1109%2Ftvt.2025.3589556?select=id,doi,title,authorships"
2026-07-02,Curtin University,1,doi_publication,10.3390/s19183993,https://doi.org/10.3390/s19183993,2019-a-gps-spoofing-generator-using-an-open-sourced-vector-tracki,A GPS Spoofing Generator using an Open Sourced Vector Tracking-Based Receiver,Curtin University,"https://api.openalex.org/works/doi:10.3390%2Fs19183993?select=id,doi,title,authorships"
2026-07-02,German Aerospace Center (DLR),1,doi_publication,10.3389/frobt.2023.1265989,https://doi.org/10.3389/frobt.2023.1265989,2023-editorial-enhanced-gnss-based-localization-solutions-with-ar,Editorial: Enhanced GNSS-based localization solutions with artificial intelligence,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR),"https://api.openalex.org/works/doi:10.3389%2Ffrobt.2023.1265989?select=id,doi,title,authorships"
2026-07-02,Giustino Fortunato University,1,doi_publication,10.1186/s43020-020-00016-w,https://doi.org/10.1186/s43020-020-00016-w,2020-machine-learning-based-losnlos-classifier-and-robust-estima,Machine Learning based LOS/NLOS Classifier and Robust Estimator for GNSS Shadow Matching,Giustino Fortunato University,"https://api.openalex.org/works/doi:10.1186%2Fs43020-020-00016-w?select=id,doi,title,authorships"
2026-07-02,Harbin Institute of Technology,1,doi_publication,10.1109/tiv.2023.3335356,https://doi.org/10.1109/tiv.2023.3335356,2023-an-anti-spoofing-model-based-on-mvm-and-mccm-for-a-loosely-c,An Anti-spoofing Model based on MVM and MCCM for a Loosely-coupled GNSS/INS/LiDAR Kalman Filter,Harbin Institute of Technology,"https://api.openalex.org/works/doi:10.1109%2Ftiv.2023.3335356?select=id,doi,title,authorships"
2026-07-02,Harbin Institute of Technology,2,doi_publication,10.1109/jsen.2023.3312911,https://doi.org/10.1109/jsen.2023.3312911,2023-lidar-based-ndt-matching-performance-evaluation-for-position,LiDAR-based NDT Matching Performance Evaluation for Positioning in Adverse Weather Conditions,Harbin Institute of Technology,"https://api.openalex.org/works/doi:10.1109%2Fjsen.2023.3312911?select=id,doi,title,authorships"
2026-07-02,Harbin Institute of Technology,3,doi_publication,10.1109/tvt.2023.3279831,https://doi.org/10.1109/tvt.2023.3279831,2023-selection-of-areas-for-effective-gnss-spoofing-attacks-to-a,Selection of Areas for Effective GNSS Spoofing Attacks to a Vehicle-mounted MSF System based on Scenario Classification Models,Harbin Institute of Technology,"https://api.openalex.org/works/doi:10.1109%2Ftvt.2023.3279831?select=id,doi,title,authorships"
2026-07-02,Hiroshima University,1,doi_publication,10.47852/bonviewjdsis42022961,https://doi.org/10.47852/bonviewjdsis42022961,2024-enhancing-smartphone-based-pedestrian-positioning-using-fac,Enhancing Smartphone-based Pedestrian Positioning: Using Factor Graph Optimization with Indoor/Outdoor Detection for 3DMA GNSS/Visual-Inertial State Estimation,Hiroshima University,"https://api.openalex.org/works/doi:10.47852%2Fbonviewjdsis42022961?select=id,doi,title,authorships"
2026-07-02,Hohai University,1,doi_publication,10.1109/tim.2022.3184357,https://doi.org/10.1109/tim.2022.3184357,2022-data-denoising-based-on-hadamard-matrix-transformation-and-r,Data Denoising Based on Hadamard Matrix Transformation and Rayleigh Quotient Maximization: Application to GNSS Signal Classification,Hohai University,"https://api.openalex.org/works/doi:10.1109%2Ftim.2022.3184357?select=id,doi,title,authorships"
2026-07-02,Hohai University,2,doi_publication,10.1016/j.measurement.2023.112974,https://doi.org/10.1016/j.measurement.2023.112974,2023-a-post-correlation-graphical-way-for-continuous-gnss-spoofin,A post-correlation graphical way for continuous GNSS spoofing detection,Hohai University,"https://api.openalex.org/works/doi:10.1016%2Fj.measurement.2023.112974?select=id,doi,title,authorships"
2026-07-02,Hohai University,3,doi_publication,10.3390/rs15041114,https://doi.org/10.3390/rs15041114,2023-high-accuracy-absolute-position-aided-code-phase-tracking-ba,High-Accuracy Absolute-Position-Aided Code Phase Tracking Based on RTK/INS Deep Integration in Challenging Static Scenarios,Hohai University,"https://api.openalex.org/works/doi:10.3390%2Frs15041114?select=id,doi,title,authorships"
