audit_date,display_section,display_order,institution,display_label,shown_publication_linked_records,count_audit_status,representative_page_url,representative_title,representative_doi,representative_doi_url,evidence_status,evidence_basis,matched_affiliation_or_local_evidence,metadata_or_project_source_url,website_content_source,logo_path
2026-07-02,core,1,The University of Tokyo,University of Tokyo,18,COUNT_MATCH,https://qmohsu.github.io/publications/2015-evaluation-of-multi-gnsss-and-gps-with-3d-map-methods-for-pe/,Evaluation of Multi-GNSSs and GPS with 3D Map Methods for Pedestrian Positioning in an Urban Canyon Environment,10.1587/transfun.e98.a.284,https://doi.org/10.1587/transfun.e98.a.284,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"The University of Tokyo | Institute of Industrial Science, The University of Tokyo | Institute of Industrial Science, The University of Tokyo",https://api.openalex.org/works/doi:10.1587%2Ftransfun.e98.a.284,content/publications/2015-evaluation-of-multi-gnsss-and-gps-with-3d-map-methods-for-pe.md,/images/partners/university-tokyo-20260701.svg
2026-07-02,core,2,University of Calgary,University of Calgary,8,COUNT_MATCH,https://qmohsu.github.io/publications/2019-intelligent-gps-l1-losmultipathnlos-classifiers-based-on-c/,"Intelligent GPS L1 LOS/Multipath/NLOS Classifiers Based on Correlator-, RINEX-and NMEA-Level Measurements",10.3390/rs11161851,https://doi.org/10.3390/rs11161851,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"University of Calgary | Department of Geomatics Engineering, University of Calgary, Calgary, AB T2N 1N4, Canada",https://api.openalex.org/works/doi:10.3390%2Frs11161851,content/publications/2019-intelligent-gps-l1-losmultipathnlos-classifiers-based-on-c.md,/images/partners/university-calgary-20260701.png
2026-07-02,core,3,Civil Aviation University of China,CAUC,6,COUNT_MATCH,https://qmohsu.github.io/publications/2019-intelligent-gps-l1-losmultipathnlos-classifiers-based-on-c/,"Intelligent GPS L1 LOS/Multipath/NLOS Classifiers Based on Correlator-, RINEX-and NMEA-Level Measurements",10.3390/rs11161851,https://doi.org/10.3390/rs11161851,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"Civil Aviation University of China | Tianjin Key Lab for Advanced Signal Processing, Civil Aviation University of China, Tianjin 300300, China",https://api.openalex.org/works/doi:10.3390%2Frs11161851,content/publications/2019-intelligent-gps-l1-losmultipathnlos-classifiers-based-on-c.md,
2026-07-02,core,4,Shenzhen Polytechnic University,Shenzhen Polytechnic,6,COUNT_MATCH,https://qmohsu.github.io/publications/2021-integration-of-gnss-and-ble-technology-with-inertial-sensors/,Integration of GNSS and BLE Technology With Inertial Sensors for Real-Time Positioning in Urban Environments,10.1109/access.2021.3052733,https://doi.org/10.1109/access.2021.3052733,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,Shenzhen Polytechnic University,https://api.openalex.org/works/doi:10.1109%2Faccess.2021.3052733,content/publications/2021-integration-of-gnss-and-ble-technology-with-inertial-sensors.md,/images/partners/shenzhen-polytechnic-20260701.png
2026-07-02,core,5,Wuhan University,Wuhan University,6,COUNT_MATCH,https://qmohsu.github.io/publications/2024-a-survey-on-cooperative-positioning-using-gnss-measurements/,A Survey on Cooperative Positioning Using GNSS Measurements,10.1109/tiv.2024.3397879,https://doi.org/10.1109/tiv.2024.3397879,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"Wuhan University | School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China",https://api.openalex.org/works/doi:10.1109%2Ftiv.2024.3397879,content/publications/2024-a-survey-on-cooperative-positioning-using-gnss-measurements.md,/images/partners/wuhan-university-20260701.png
2026-07-02,core,6,National Cheng Kung University,NCKU,5,COUNT_MATCH,https://qmohsu.github.io/publications/2010-development-of-an-indoor-location-based-service-test-bed-and/,Development of an Indoor Location Based Service Test Bed and Geographic Information System with a WSN,10.3390/s100402957,https://doi.org/10.3390/s100402957,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"National Cheng Kung University | Department of Aeronautics and Astronautics, National Cheng Kung University, Tainan 70101, Taiwan | Department of Aeronautics and Astronautics, National Cheng Kung University, Tainan 70101, Taiwan. ssjan@mail.ncku.edu.tw",https://api.openalex.org/works/doi:10.3390%2Fs100402957,content/publications/2010-development-of-an-indoor-location-based-service-test-bed-and.md,/images/partners/ncku-20260701.png
2026-07-02,core,7,Nanjing University of Aeronautics and Astronautics,NUAA,5,COUNT_MATCH,https://qmohsu.github.io/publications/2019-a-gradient-boosting-decision-tree-based-gps-signal-reception/,A Gradient Boosting Decision Tree Based GPS Signal Reception Classification Algorithm,10.1016/j.asoc.2019.105942,https://doi.org/10.1016/j.asoc.2019.105942,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"Nanjing University of Aeronautics and Astronautics | College of Civil Aviation, Nanjing University of Aeronautics and Astronautics, Nanjing 210016, China",https://api.openalex.org/works/doi:10.1016%2Fj.asoc.2019.105942,content/publications/2019-a-gradient-boosting-decision-tree-based-gps-signal-reception.md,/images/partners/nuaa-20260701.png
2026-07-02,core,8,Applied Science and Technology Research Institute,ASTRI,5,COUNT_MATCH,https://qmohsu.github.io/publications/2021-prediction-on-the-urban-gnss-measurement-uncertainty-based-o/,Prediction on the Urban GNSS Measurement Uncertainty based on Deep Learning Networks with Long Short-Term Memory,10.1109/jsen.2021.3098006,https://doi.org/10.1109/jsen.2021.3098006,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"Applied Science and Technology Research Institute | Hong Kong Applied Science and Technology Research Institute Company Ltd., Hong Kong",https://api.openalex.org/works/doi:10.1109%2Fjsen.2021.3098006,content/publications/2021-prediction-on-the-urban-gnss-measurement-uncertainty-based-o.md,/images/partners/astri-20260701.svg
2026-07-02,core,9,Imperial College London,Imperial,4,COUNT_MATCH,https://qmohsu.github.io/publications/2019-a-gradient-boosting-decision-tree-based-gps-signal-reception/,A Gradient Boosting Decision Tree Based GPS Signal Reception Classification Algorithm,10.1016/j.asoc.2019.105942,https://doi.org/10.1016/j.asoc.2019.105942,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"Imperial College London | Center for Transport Studies, Imperial College London, London SW7 2AZ, UK",https://api.openalex.org/works/doi:10.1016%2Fj.asoc.2019.105942,content/publications/2019-a-gradient-boosting-decision-tree-based-gps-signal-reception.md,/images/partners/imperial-20260701.png
2026-07-02,core,10,Southeast University,Southeast University,4,COUNT_MATCH,https://qmohsu.github.io/publications/2022-a-novel-insusbl-integrated-navigation-scheme-via-factor-gra/,A Novel INS/USBL Integrated Navigation Scheme Via Factor Graph Optimization,10.1109/tvt.2022.3177739,https://doi.org/10.1109/tvt.2022.3177739,VERIFIED_OPENALEX,OpenAlex DOI author-affiliation metadata,"Southeast University | School of Instrument Science and Engineering, Key Laboratory of Micro-Inertial Instrument and Advanced Navigation Technology, Ministry of Education, Southeast University, Nanjing, China",https://api.openalex.org/works/doi:10.1109%2Ftvt.2022.3177739,content/publications/2022-a-novel-insusbl-integrated-navigation-scheme-via-factor-gra.md,/images/partners/southeast-university-20260701.svg
